Family,Genome,Protein,Genus,Species,Classifier
GH62,GCA_000599445.1,EYB23139.1,Fusarium,graminearum,dbCAN
GT20,GCA_002234985.1,OXN09393.1,Aspergillus,fumigatus,dbCAN
GH27,GCA_000988865.1,KKP05654.1,Trichoderma,harzianum,dbCAN
GH47,GCA_900074905.1,CZT13200.1,Rhynchosporium,agropyri,dbCAN
PL3,GCA_002234955.1,OXN23138.1,Aspergillus,fumigatus,dbCAN
CBM38,GCA_012656125.1,KAF4286787.1,Aspergillus,fumigatus,dbCAN
GH13,GCA_900080155.1,SAM84402.1,Ustilago,bromivora,dbCAN
AA3,GCA_900248155.1,SPB46652.1,Aspergillus,niger,dbCAN
GT1,GCA_002211485.2,TPR09820.1,Aspergillus,niger,dbCAN
GH114,GCA_003290285.1,RBA20577.1,Fusarium,proliferatum,dbCAN
CE12,GCA_012656125.1,KAF4282094.1,Aspergillus,fumigatus,dbCAN
AA6,GCA_012552325.1,KAF4148502.1,Phytophthora,infestans,dbCAN
GH105,GCA_003615165.1,RKL04312.1,Fusarium,oxysporum,dbCAN
AA9,GCF_004355905.1,XP_030986645.1,Magnaporthe,grisea,dbCAN
AA1,GCA_003615115.1,RKK67249.1,Fusarium,oxysporum,dbCAN
GT22,GCA_900029915.1,CVL13759.1,Fusarium,proliferatum,dbCAN
AA3,GCA_900074895.1,CZT53266.1,Rhynchosporium,secalis,dbCAN
GH5,GCA_002211485.2,TPR11184.1,Aspergillus,niger,dbCAN
GT4,GCF_004355905.1,XP_030980824.1,Magnaporthe,grisea,dbCAN
GH76,GCA_002838845.1,PKK51715.1,Trichoderma,harzianum,dbCAN
GH16,GCA_012656185.1,KAF4264660.1,Aspergillus,fumigatus,dbCAN
GH55,GCF_003025115.1,XP_024748388.1,Trichoderma,citrinoviride,dbCAN
GT54,GCA_002352725.1,PCD21620.1,Fusarium,graminearum,dbCAN
GH79,GCA_000599445.1,EYB32046.1,Fusarium,graminearum,dbCAN
GH64,GCA_900044135.1,CEF74696.1,Fusarium,graminearum,dbCAN
GH27,GCA_012656115.1,KAF4290962.1,Aspergillus,fumigatus,dbCAN
GH35,GCA_003615185.1,RKL42822.1,Fusarium,oxysporum,dbCAN
AA11,GCF_003025115.1,XP_024754169.1,Trichoderma,citrinoviride,dbCAN
GT1,GCA_004346965.1,QBZ53337.1,Magnaporthe,oryzae,CAZy
GH18,GCA_012656125.1,KAF4286983.1,Aspergillus,fumigatus,dbCAN
CBM1,GCA_012656115.1,KAF4289712.1,Aspergillus,fumigatus,dbCAN
GH27,GCA_900074905.1,CZT04827.1,Rhynchosporium,agropyri,dbCAN
GT57,GCA_002234955.1,OXN27335.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_900029915.1,CVK85280.1,Fusarium,proliferatum,dbCAN
GH114,GCA_012656115.1,KAF4290746.1,Aspergillus,fumigatus,dbCAN
GH13,GCF_000002855.3,XP_001397301.1,Aspergillus,niger,dbCAN
GH3,GCA_002234955.1,OXN20160.1,Aspergillus,fumigatus,dbCAN
GT62,GCA_003290285.1,RBA20496.1,Fusarium,proliferatum,dbCAN
GH28,GCA_000509525.1,ETM39398.1,Phytophthora,parasitica,dbCAN
GT90,GCA_003615115.1,RKK83988.1,Fusarium,oxysporum,dbCAN
GH93,GCA_900074905.1,CZS96502.1,Rhynchosporium,agropyri,dbCAN
GH47,GCA_900074905.1,CZS91281.1,Rhynchosporium,agropyri,dbCAN
GH47,GCA_003615155.1,RKK88987.1,Fusarium,oxysporum,dbCAN
GT8,GCA_002211485.2,TPR05043.1,Aspergillus,niger,dbCAN
CBM67,GCA_003615155.1,RKL01593.1,Fusarium,oxysporum,dbCAN
AA3,GCA_002894145.1,PNP57211.1,Trichoderma,harzianum,dbCAN
AA6,GCF_000002855.3,XP_001388959.2,Aspergillus,niger,CAZy
CE3,GCA_003290285.1,RBA20637.1,Fusarium,proliferatum,dbCAN
AA1,GCA_900248155.1,SPB52382.1,Aspergillus,niger,dbCAN
GH75,GCA_000988865.1,KKO98491.1,Trichoderma,harzianum,dbCAN
CBM35,GCA_012656125.1,KAF4281147.1,Aspergillus,fumigatus,dbCAN
GT35,GCA_900044135.1,CEF84286.1,Fusarium,graminearum,dbCAN
GT34,GCA_012656125.1,KAF4287458.1,Aspergillus,fumigatus,dbCAN
AA16,GCA_002234955.1,OXN27205.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_000509505.1,ETL84608.1,Phytophthora,parasitica,dbCAN
AA3,GCA_004346965.1,QBZ55222.1,Magnaporthe,oryzae,dbCAN
PL1,GCA_012552325.1,KAF4133267.1,Phytophthora,infestans,dbCAN
GT2,GCF_000149755.1,XP_009524490.1,Phytophthora,sojae,dbCAN
GH51,GCA_002352725.1,PCD40948.1,Fusarium,graminearum,dbCAN
CBM18,GCA_003615155.1,RKK96431.1,Fusarium,oxysporum,dbCAN
GH30,GCF_000149755.1,XP_009526954.1,Phytophthora,sojae,dbCAN
GT39,GCF_003025115.1,XP_024750339.1,Trichoderma,citrinoviride,dbCAN
GT71,GCA_003615165.1,RKK87324.1,Fusarium,oxysporum,dbCAN
AA1,GCA_001515345.1,GAQ47657.1,Aspergillus,niger,dbCAN
GH18,GCA_003615185.1,RKL12878.1,Fusarium,oxysporum,dbCAN
GH72,GCA_900044135.1,CEF75293.1,Fusarium,graminearum,dbCAN
GH5,GCA_900080155.1,SAM84544.1,Ustilago,bromivora,dbCAN
GH18,GCA_003615155.1,RKL19717.1,Fusarium,oxysporum,dbCAN
GH12,GCA_003615165.1,RKK94357.1,Fusarium,oxysporum,dbCAN
GH32,GCA_003615215.1,RKL45794.1,Fusarium,proliferatum,dbCAN
GH131,GCA_002234985.1,OXN03528.1,Aspergillus,fumigatus,dbCAN
GH18,GCA_002894145.1,PNP48039.1,Trichoderma,harzianum,dbCAN
GH2,GCA_900029915.1,CVL08644.1,Fusarium,proliferatum,dbCAN
GH19,GCA_000509505.1,ETL80505.1,Phytophthora,parasitica,dbCAN
GH3,GCA_003615115.1,RKK80459.1,Fusarium,oxysporum,dbCAN
GT58,GCF_900000015.1,XP_024575859.1,Plasmopara,halstedii,dbCAN
GT1,GCA_001515345.1,GAQ45180.1,Aspergillus,niger,dbCAN
CBM35,GCA_003615215.1,RKL39238.1,Fusarium,proliferatum,dbCAN
GH106,GCF_003025115.1,XP_024748812.1,Trichoderma,citrinoviride,dbCAN
GT69,GCA_900029915.1,CVK95499.1,Fusarium,proliferatum,dbCAN
CBM67,GCA_003615165.1,RKK98469.1,Fusarium,oxysporum,dbCAN
CBM42,GCA_002211485.2,TPR02999.1,Aspergillus,niger,dbCAN
GH27,GCA_004346965.1,QBZ55492.1,Magnaporthe,oryzae,CAZy
GT76,GCA_002234985.1,OXN09656.1,Aspergillus,fumigatus,dbCAN
GH106,GCA_003615115.1,RKK64353.1,Fusarium,oxysporum,dbCAN
AA7,GCA_002894145.1,PNP59775.1,Trichoderma,harzianum,dbCAN
GH105,GCA_900044135.1,CEF72028.1,Fusarium,graminearum,dbCAN
GH78,GCA_001515345.1,GAQ47583.1,Aspergillus,niger,dbCAN
GH81,GCA_000509505.1,ETL95021.1,Phytophthora,parasitica,dbCAN
GH71,GCA_002211485.2,TPR03167.1,Aspergillus,niger,dbCAN
GH28,GCA_000509465.1,ETK79554.1,Phytophthora,parasitica,dbCAN
GH28,GCA_002234955.1,OXN21951.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_003615165.1,RKK93665.1,Fusarium,oxysporum,dbCAN
GH6,GCA_900248155.1,SPB52890.1,Aspergillus,niger,dbCAN
GH28,GCA_012656215.1,KAF4268217.1,Aspergillus,fumigatus,dbCAN
GT22,GCA_012552325.1,KAF4130973.1,Phytophthora,infestans,dbCAN
GH36,GCA_900044135.1,CEF73992.1,Fusarium,graminearum,CAZy
GH18,GCA_900044135.1,CEF83721.1,Fusarium,graminearum,CAZy
GH16,GCA_003615215.1,RKL34246.1,Fusarium,proliferatum,dbCAN
GH13,GCA_900074895.1,CZT51484.1,Rhynchosporium,secalis,dbCAN
GH18,GCA_002352725.1,PCD36979.1,Fusarium,graminearum,dbCAN
GH78,GCF_000149755.1,XP_009523706.1,Phytophthora,sojae,dbCAN
GH12,GCA_002211485.2,TPR07283.1,Aspergillus,niger,dbCAN
GH76,GCA_900074905.1,CZT06728.1,Rhynchosporium,agropyri,dbCAN
AA3,GCA_003615155.1,RKL09815.1,Fusarium,oxysporum,dbCAN
GH3,GCA_900029915.1,CVL09104.1,Fusarium,proliferatum,dbCAN
GH18,GCF_003025115.1,XP_024750685.1,Trichoderma,citrinoviride,dbCAN
GH1,GCA_012656215.1,KAF4252472.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_002894145.1,PNP47739.1,Trichoderma,harzianum,dbCAN
GH31,GCF_004355905.1,XP_030977212.1,Magnaporthe,grisea,dbCAN
GT2,GCA_000988865.1,KKP06544.1,Trichoderma,harzianum,dbCAN
GH13,GCA_012656115.1,KAF4289256.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_003615165.1,RKL03267.1,Fusarium,oxysporum,dbCAN
GH32,GCA_900096695.1,SCO81522.1,Fusarium,oxysporum,dbCAN
CE5,GCA_000509505.1,ETL98250.1,Phytophthora,parasitica,dbCAN
GT4,GCA_012656115.1,KAF4291588.1,Aspergillus,fumigatus,dbCAN
GH13,GCA_000599445.1,EYB24841.1,Fusarium,graminearum,dbCAN
GH2,GCA_001515345.1,GAQ33903.1,Aspergillus,niger,dbCAN
GH5,GCF_000002855.3,XP_001392228.1,Aspergillus,niger,dbCAN
GH6,GCA_000509525.1,ETM56960.1,Phytophthora,parasitica,dbCAN
GT69,GCA_012656165.1,KAF4258884.1,Aspergillus,fumigatus,dbCAN
GH43,GCA_004346965.1,QBZ57862.1,Magnaporthe,oryzae,dbCAN
GT22,GCA_001515345.1,GAQ34149.1,Aspergillus,niger,dbCAN
GH71,GCA_000988865.1,KKP00006.1,Trichoderma,harzianum,dbCAN
GH11,GCA_000988865.1,KKP05773.1,Trichoderma,harzianum,dbCAN
GH7,GCA_002234955.1,OXN27528.1,Aspergillus,fumigatus,dbCAN
AA5,GCA_003615155.1,RKL17580.1,Fusarium,oxysporum,dbCAN
GT25,GCA_012656215.1,KAF4271858.1,Aspergillus,fumigatus,dbCAN
GH33,GCA_003615165.1,RKK92493.1,Fusarium,oxysporum,dbCAN
GT2,GCA_900044135.1,CEF74160.1,Fusarium,graminearum,CAZy
GT15,GCA_002234985.1,OXN02226.1,Aspergillus,fumigatus,dbCAN
GH35,GCA_900074905.1,CZS96523.1,Rhynchosporium,agropyri,dbCAN
CBM18,GCA_000988865.1,KKO97863.1,Trichoderma,harzianum,dbCAN
GT2,GCA_900074905.1,CZT05110.1,Rhynchosporium,agropyri,dbCAN
GH20,GCA_900248155.1,SPB43472.1,Aspergillus,niger,dbCAN
CE11,GCA_000509505.1,ETL88306.1,Phytophthora,parasitica,dbCAN
GT2,GCA_000988865.1,KKO96819.1,Trichoderma,harzianum,dbCAN
GH32,GCA_012656125.1,KAF4286787.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_900074905.1,CZT07801.1,Rhynchosporium,agropyri,dbCAN
GT31,GCA_001515345.1,GAQ45862.1,Aspergillus,niger,dbCAN
GT71,GCA_000509505.1,ETL84234.1,Phytophthora,parasitica,dbCAN
GH43,GCA_012656185.1,KAF4254935.1,Aspergillus,fumigatus,dbCAN
GH76,GCA_004346965.1,QBZ56212.1,Magnaporthe,oryzae,dbCAN
AA9,GCA_012656125.1,KAF4288342.1,Aspergillus,fumigatus,dbCAN
GH17,GCA_000509505.1,ETL81986.1,Phytophthora,parasitica,dbCAN
GH10,GCA_004346965.1,QBZ56359.1,Magnaporthe,oryzae,CAZy
GH13,GCA_900044135.1,CEF73330.1,Fusarium,graminearum,dbCAN
GH51,GCA_004346965.1,QBZ62022.1,Magnaporthe,oryzae,CAZy
AA1,GCA_900096695.1,SCO85618.1,Fusarium,oxysporum,dbCAN
AA9,GCA_012656165.1,KAF4275935.1,Aspergillus,fumigatus,dbCAN
CBM21,GCA_012656215.1,KAF4279423.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_004346965.1,QBZ55690.1,Magnaporthe,oryzae,CAZy
GH114,GCA_000509505.1,ETL77484.1,Phytophthora,parasitica,dbCAN
GH81,GCA_012552325.1,KAF4135704.1,Phytophthora,infestans,dbCAN
GH35,GCA_002352725.1,PCD36649.1,Fusarium,graminearum,dbCAN
CBM18,GCA_900074905.1,CZT06707.1,Rhynchosporium,agropyri,dbCAN
GH67,GCA_900096695.1,SCO90531.1,Fusarium,oxysporum,dbCAN
CBM42,GCA_900248155.1,SPB45446.1,Aspergillus,niger,dbCAN
GH3,GCA_001515345.1,GAQ41973.1,Aspergillus,niger,dbCAN
GH18,GCA_012656115.1,KAF4285112.1,Aspergillus,fumigatus,dbCAN
GH26,GCA_001515345.1,GAQ40178.1,Aspergillus,niger,dbCAN
AA1,GCA_002211485.2,TPR05504.1,Aspergillus,niger,dbCAN
CBM1,GCF_004355905.1,XP_030981299.1,Magnaporthe,grisea,dbCAN
AA3,GCA_900044135.1,CEF84533.1,Fusarium,graminearum,CAZy
GH13,GCA_900074905.1,CZT08786.1,Rhynchosporium,agropyri,dbCAN
GH81,GCA_000509485.1,ETL42215.1,Phytophthora,parasitica,dbCAN
GT20,GCA_000509465.1,ETK95999.1,Phytophthora,parasitica,dbCAN
GH18,GCA_012656215.1,KAF4279559.1,Aspergillus,fumigatus,dbCAN
GH43,GCA_003290285.1,RBA18349.1,Fusarium,proliferatum,dbCAN
GH76,GCF_000002855.3,XP_001402321.1,Aspergillus,niger,dbCAN
GH64,GCF_003025115.1,XP_024746370.1,Trichoderma,citrinoviride,dbCAN
GH47,GCA_900080155.1,SAM84424.1,Ustilago,bromivora,dbCAN
CE16,GCA_900074905.1,CZS97212.1,Rhynchosporium,agropyri,dbCAN
GT20,GCA_002894145.1,PNP57290.1,Trichoderma,harzianum,dbCAN
GH27,GCA_900074895.1,CZT40960.1,Rhynchosporium,secalis,dbCAN
CE4,GCA_900044135.1,CEF86032.1,Fusarium,graminearum,CAZy
GH27,GCA_003615155.1,RKL16514.1,Fusarium,oxysporum,dbCAN
PL4,GCA_900044135.1,CEF87623.1,Fusarium,graminearum,CAZy
GH3,GCA_900074885.1,CZT07100.1,Rhynchosporium,commune,dbCAN
GH51,GCF_000002855.3,XP_001393408.2,Aspergillus,niger,dbCAN
AA9,GCA_001515345.1,GAQ44981.1,Aspergillus,niger,dbCAN
CBM43,GCA_012656215.1,KAF4252626.1,Aspergillus,fumigatus,dbCAN
CE1,GCA_003615215.1,RKL50598.1,Fusarium,proliferatum,dbCAN
AA3,GCA_002352725.1,PCD30079.1,Fusarium,graminearum,dbCAN
CE1,GCA_002234985.1,OXN05625.1,Aspergillus,fumigatus,dbCAN
GH20,GCA_012656115.1,KAF4291343.1,Aspergillus,fumigatus,dbCAN
GH18,GCA_900080155.1,SAM82108.1,Ustilago,bromivora,CAZy
GH76,GCA_000599445.1,EYB29804.1,Fusarium,graminearum,dbCAN
GH3,GCA_900029915.1,CVL12675.1,Fusarium,proliferatum,dbCAN
GH1,GCA_002211485.2,TPR04400.1,Aspergillus,niger,dbCAN
GT76,GCF_000002855.3,XP_001401897.2,Aspergillus,niger,dbCAN
GH43,GCA_003615115.1,RKK57418.1,Fusarium,oxysporum,dbCAN
AA3,GCA_003615115.1,RKK67827.1,Fusarium,oxysporum,dbCAN
GH79,GCA_003615185.1,RKL36153.1,Fusarium,oxysporum,dbCAN
GH17,GCA_900096695.1,SCO90211.1,Fusarium,oxysporum,dbCAN
AA7,GCA_002211485.2,TPR11201.1,Aspergillus,niger,dbCAN
AA9,GCA_900074895.1,CZT46379.1,Rhynchosporium,secalis,dbCAN
CBM1,GCA_012656185.1,KAF4258785.1,Aspergillus,fumigatus,dbCAN
AA1,GCA_900074895.1,CZT48842.1,Rhynchosporium,secalis,dbCAN
PL9,GCA_012656125.1,KAF4287298.1,Aspergillus,fumigatus,dbCAN
AA3,GCF_003025115.1,XP_024748870.1,Trichoderma,citrinoviride,dbCAN
GT1,GCA_012656125.1,KAF4284590.1,Aspergillus,fumigatus,dbCAN
CE4,GCA_003615115.1,RKK78949.1,Fusarium,oxysporum,dbCAN
GT50,GCA_004346965.1,QBZ54528.1,Magnaporthe,oryzae,CAZy
GT2,GCA_004346965.1,QBZ56648.1,Magnaporthe,oryzae,dbCAN
GT1,GCA_002352725.1,PCD32332.1,Fusarium,graminearum,dbCAN
GH2,GCA_003615185.1,RKL43757.1,Fusarium,oxysporum,dbCAN
GH3,GCA_000509485.1,ETL30798.1,Phytophthora,parasitica,dbCAN
GH72,GCA_002352725.1,PCD31600.1,Fusarium,graminearum,dbCAN
GH63,GCA_000509505.1,ETL84116.1,Phytophthora,parasitica,dbCAN
GH17,GCA_900044135.1,CEF86434.1,Fusarium,graminearum,CAZy
GT57,GCF_000149755.1,XP_009525711.1,Phytophthora,sojae,dbCAN
GH30,GCA_000509505.1,ETL99773.1,Phytophthora,parasitica,dbCAN
CBM35,GCA_002234985.1,OXN06921.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_001515345.1,GAQ46905.1,Aspergillus,niger,dbCAN
AA9,GCA_900044135.1,CEF79735.1,Fusarium,graminearum,dbCAN
GH16,GCA_003615115.1,RKK86163.1,Fusarium,oxysporum,dbCAN
GT4,GCA_900080155.1,SAM81704.1,Ustilago,bromivora,dbCAN
GH18,GCA_012656165.1,KAF4270753.1,Aspergillus,fumigatus,dbCAN
CBM48,GCA_012656215.1,KAF4265251.1,Aspergillus,fumigatus,dbCAN
GT20,GCF_000149755.1,XP_009526911.1,Phytophthora,sojae,dbCAN
GT1,GCA_003615185.1,RKL30173.1,Fusarium,oxysporum,dbCAN
GT69,GCA_003615115.1,RKK62635.1,Fusarium,oxysporum,dbCAN
GT20,GCA_000509505.1,ETM02455.1,Phytophthora,parasitica,dbCAN
CE5,GCA_900074905.1,CZS93205.1,Rhynchosporium,agropyri,dbCAN
GH141,GCA_003290285.1,RBA15609.1,Fusarium,proliferatum,dbCAN
AA1,GCA_900044135.1,SCB65047.1,Fusarium,graminearum,CAZy
GH142,GCA_002894145.1,PNP52958.1,Trichoderma,harzianum,dbCAN
GH63,GCA_002894145.1,PNP53422.1,Trichoderma,harzianum,dbCAN
GH5,GCA_000509525.1,ETM36593.1,Phytophthora,parasitica,dbCAN
AA1,GCA_003615115.1,RKK79441.1,Fusarium,oxysporum,dbCAN
CBM18,GCA_003615165.1,RKK89735.1,Fusarium,oxysporum,dbCAN
GH13,GCA_003615155.1,RKK93235.1,Fusarium,oxysporum,dbCAN
GH16,GCA_003615115.1,RKK65367.1,Fusarium,oxysporum,dbCAN
GT8,GCA_003290285.1,RBA13848.1,Fusarium,proliferatum,dbCAN
GH72,GCA_004346965.1,QBZ57663.1,Magnaporthe,oryzae,CAZy
AA3,GCF_003025115.1,XP_024745735.1,Trichoderma,citrinoviride,dbCAN
GH17,GCA_900029915.1,CVL08547.1,Fusarium,proliferatum,dbCAN
GT22,GCA_002234985.1,OXN02163.1,Aspergillus,fumigatus,dbCAN
AA12,GCF_004355905.1,XP_030988185.1,Magnaporthe,grisea,dbCAN
CE3,GCA_003615115.1,RKK78477.1,Fusarium,oxysporum,dbCAN
GT1,GCA_002894145.1,PNP51691.1,Trichoderma,harzianum,dbCAN
PL1,GCA_012552325.1,KAF4144248.1,Phytophthora,infestans,dbCAN
GT32,GCA_900096695.1,SCO76028.1,Fusarium,oxysporum,dbCAN
CBM46,GCA_012656115.1,KAF4285531.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_000509465.1,ETK77956.1,Phytophthora,parasitica,dbCAN
CE0,GCA_002211485.2,TPR09353.1,Aspergillus,niger,dbCAN
GH35,GCA_900029915.1,CVL07390.1,Fusarium,proliferatum,dbCAN
GH10,GCA_012656125.1,KAF4286352.1,Aspergillus,fumigatus,dbCAN
GH28,GCA_012656215.1,KAF4254664.1,Aspergillus,fumigatus,dbCAN
CE4,GCA_003615185.1,RKL36132.1,Fusarium,oxysporum,dbCAN
CBM35,GCA_002211485.2,TPR02719.1,Aspergillus,niger,dbCAN
GH31,GCA_001078535.1,CCI49904.1,Albugo,candida,dbCAN
PL1,GCA_000509525.1,ETM43208.1,Phytophthora,parasitica,dbCAN
GH154,GCA_900044135.1,CEF77268.1,Fusarium,graminearum,dbCAN
GH5,GCA_900029915.1,CVL05637.1,Fusarium,proliferatum,dbCAN
GH43,GCA_012656185.1,KAF4253070.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_900248155.1,SPB43915.1,Aspergillus,niger,dbCAN
GH43,GCA_012656185.1,KAF4253550.1,Aspergillus,fumigatus,dbCAN
AA1,GCA_900044135.1,CEF85239.1,Fusarium,graminearum,CAZy
GH20,GCA_900248155.1,SPB50845.1,Aspergillus,niger,dbCAN
CBM63,GCA_012656115.1,KAF4294775.1,Aspergillus,fumigatus,dbCAN
GH54,GCA_002838845.1,PKK43116.1,Trichoderma,harzianum,dbCAN
AA8,GCA_003615115.1,RKK65847.1,Fusarium,oxysporum,dbCAN
GH45,GCA_900074885.1,CZS89171.1,Rhynchosporium,commune,dbCAN
GT34,GCA_002234955.1,OXN27899.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_002234985.1,OXN08027.1,Aspergillus,fumigatus,dbCAN
GH114,GCA_002211485.2,TPR08684.1,Aspergillus,niger,dbCAN
GH31,GCA_004346965.1,QBZ63431.1,Magnaporthe,oryzae,dbCAN
GH106,GCA_900096695.1,SCO90267.1,Fusarium,oxysporum,dbCAN
CBM1,GCA_002234955.1,OXN15446.1,Aspergillus,fumigatus,dbCAN
GH71,GCA_002234955.1,OXN24255.1,Aspergillus,fumigatus,dbCAN
GH47,GCA_000599445.1,EYB32145.1,Fusarium,graminearum,dbCAN
GH28,GCA_000509465.1,ETK79561.1,Phytophthora,parasitica,dbCAN
GH55,GCA_002894145.1,PNP58272.1,Trichoderma,harzianum,dbCAN
GH10,GCA_002894145.1,PNP59254.1,Trichoderma,harzianum,dbCAN
GH1,GCA_000509525.1,ETM45709.1,Phytophthora,parasitica,dbCAN
CBM1,GCA_900044135.1,CEF88482.1,Fusarium,graminearum,CAZy
AA12,GCA_003615215.1,RKL39364.1,Fusarium,proliferatum,dbCAN
GT71,GCA_000509505.1,ETM01589.1,Phytophthora,parasitica,dbCAN
GH47,GCA_900248155.1,SPB46291.1,Aspergillus,niger,dbCAN
GH47,GCF_003025115.1,XP_024747873.1,Trichoderma,citrinoviride,dbCAN
GH5,GCA_000509505.1,ETM02286.1,Phytophthora,parasitica,dbCAN
GH13,GCA_000599445.1,EYB29760.1,Fusarium,graminearum,dbCAN
GH3,GCF_004355905.1,XP_030977233.1,Magnaporthe,grisea,dbCAN
PL4,GCA_012656165.1,KAF4271399.1,Aspergillus,fumigatus,dbCAN
GH47,GCA_001515345.1,GAQ44488.1,Aspergillus,niger,dbCAN
GH43,GCA_900248155.1,SPB49469.1,Aspergillus,niger,dbCAN
GH16,GCA_003615165.1,RKK95372.1,Fusarium,oxysporum,dbCAN
GH43,GCF_004355905.1,XP_030986804.1,Magnaporthe,grisea,dbCAN
GT20,GCA_000599445.1,EYB33086.1,Fusarium,graminearum,dbCAN
GH16,GCA_000599445.1,EYB27058.1,Fusarium,graminearum,dbCAN
GH30,GCA_000509505.1,ETL80073.1,Phytophthora,parasitica,dbCAN
CBM67,GCA_900029915.1,CVL11785.1,Fusarium,proliferatum,dbCAN
GT64,GCA_003615185.1,RKL48887.1,Fusarium,oxysporum,dbCAN
GH16,GCA_000599445.1,EYB28319.1,Fusarium,graminearum,dbCAN
GT15,GCA_900044135.1,CEF83785.1,Fusarium,graminearum,CAZy
GH3,GCA_012656165.1,KAF4263879.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_000988865.1,KKP06557.1,Trichoderma,harzianum,dbCAN
GT1,GCA_001515345.1,GAQ43767.1,Aspergillus,niger,dbCAN
CBM35,GCA_900096695.1,SCO91569.1,Fusarium,oxysporum,dbCAN
GH81,GCF_000149755.1,XP_009519416.1,Phytophthora,sojae,dbCAN
CE5,GCA_000509465.1,ETK91688.1,Phytophthora,parasitica,dbCAN
GT71,GCA_002234955.1,OXN28658.1,Aspergillus,fumigatus,dbCAN
GT31,GCA_000988865.1,KKP04422.1,Trichoderma,harzianum,dbCAN
GH95,GCA_000988865.1,KKP06905.1,Trichoderma,harzianum,dbCAN
AA3,GCA_002894145.1,PNP51228.1,Trichoderma,harzianum,dbCAN
GH43,GCA_900096695.1,SCO78007.1,Fusarium,oxysporum,dbCAN
GH47,GCA_003615155.1,RKL13698.1,Fusarium,oxysporum,dbCAN
AA1,GCA_900096695.1,SCO82047.1,Fusarium,oxysporum,dbCAN
CE8,GCA_000509525.1,ETM31836.1,Phytophthora,parasitica,dbCAN
GT2,GCA_002211485.2,TPR06475.1,Aspergillus,niger,dbCAN
GH47,GCA_012656125.1,KAF4283858.1,Aspergillus,fumigatus,dbCAN
CBM21,GCA_900044135.1,SCB65061.1,Fusarium,graminearum,CAZy
GH18,GCA_012656125.1,KAF4283228.1,Aspergillus,fumigatus,dbCAN
GH132,GCA_004346965.1,QBZ62795.1,Magnaporthe,oryzae,dbCAN
GH24,GCA_003615215.1,RKL27476.1,Fusarium,proliferatum,dbCAN
GH5,GCA_003615155.1,RKL00492.1,Fusarium,oxysporum,dbCAN
GH114,GCA_003615155.1,RKL12783.1,Fusarium,oxysporum,dbCAN
GH7,GCA_000509485.1,ETL38175.1,Phytophthora,parasitica,dbCAN
AA8,GCA_900074885.1,CZS89177.1,Rhynchosporium,commune,dbCAN
GT25,GCF_004355905.1,XP_030983012.1,Magnaporthe,grisea,dbCAN
GH64,GCA_004346965.1,QBZ62949.1,Magnaporthe,oryzae,dbCAN
GH32,GCA_003615115.1,RKK68958.1,Fusarium,oxysporum,dbCAN
GH47,GCA_002211485.2,TPR03961.1,Aspergillus,niger,dbCAN
GH18,GCA_003615115.1,RKK31571.1,Fusarium,oxysporum,dbCAN
AA3,GCA_002234955.1,OXN23894.1,Aspergillus,fumigatus,dbCAN
CBM1,GCA_003615185.1,RKL30586.1,Fusarium,oxysporum,dbCAN
AA3,GCA_004346965.1,QBZ54458.1,Magnaporthe,oryzae,CAZy
GH105,GCA_002234985.1,OXN02658.1,Aspergillus,fumigatus,dbCAN
CE9,GCF_003025115.1,XP_024752272.1,Trichoderma,citrinoviride,dbCAN
GH28,GCA_001515345.1,GAQ45714.1,Aspergillus,niger,dbCAN
GH5,GCA_000509525.1,ETM45218.1,Phytophthora,parasitica,dbCAN
AA11,GCA_900029915.1,CVK83241.1,Fusarium,proliferatum,dbCAN
GH76,GCA_003290285.1,RBA12423.1,Fusarium,proliferatum,dbCAN
GT20,GCA_001515345.1,GAQ44779.1,Aspergillus,niger,dbCAN
GH13,GCA_900029915.1,CVK90654.1,Fusarium,proliferatum,dbCAN
CBM18,GCA_002838845.1,PKK42201.1,Trichoderma,harzianum,dbCAN
CBM1,GCA_003615165.1,RKK98837.1,Fusarium,oxysporum,dbCAN
GH31,GCA_900074895.1,CZT49389.1,Rhynchosporium,secalis,dbCAN
GH45,GCA_900080155.1,SAM81848.1,Ustilago,bromivora,CAZy
GH28,GCA_003290285.1,RBA21140.1,Fusarium,proliferatum,dbCAN
GH3,GCA_002234985.1,OXN11133.1,Aspergillus,fumigatus,dbCAN
GH5,GCA_900096695.1,SCO91425.1,Fusarium,oxysporum,dbCAN
PL4,GCA_003290285.1,RBA15341.1,Fusarium,proliferatum,dbCAN
AA3,GCA_900074905.1,CZT10004.1,Rhynchosporium,agropyri,dbCAN
GH76,GCA_003615165.1,RKL00599.1,Fusarium,oxysporum,dbCAN
